"Time (s)","Radial Position (mm)","Radial Velocity (mm/s)","Radial Deflection (deg)","Slew Position (deg)","Slew Velocity (deg/s)","Tangential Deflection (deg)"
0,812,0,1.7,29,0,-1.7
0.04,812,0,1.7,29,0.01,-1.7
0.08,812,0,1.7,29,0.02,-1.7
0.12,812,-0.01,1.7,29,0,-1.7
0.16,812,0,1.7,29,0,-1.7
0.2,812,0.02,1.7,29,0,-1.7
0.24,812,-0.01,1.7,29,0.02,-1.7
0.28,812,0,1.7,29,-0.01,-1.7
0.32,812,0.01,1.7,29,0.01,-1.7
0.36,812,-0.02,1.7,29,0.01,-1.7
0.4,812,0,1.7,29,0.01,-1.7
0.44,812,0.01,1.7,29,0.01,-1.7
0.48,812,0,1.7,29,0.01,-1.7
0.52,812,0.01,1.7,29,0.01,-1.7
0.56,812,0,1.7,29,0,-1.7
0.6,812,-0.01,1.7,29,-0.01,-1.7
0.64,812,0.02,1.7,29,0.01,-1.7
0.68,812,-0.02,1.7,29,0.01,-1.7
0.72,812,-0.01,1.7,29,0.01,-1.7
0.76,812,0.02,1.7,29,0.02,-1.7
0.8,812,0,1.7,29,-0.01,-1.7
0.84,812,-0.01,1.7,29,0.02,-1.7
0.88,812,0.01,1.7,29,-0.01,-1.7
0.92,812,-0.01,1.7,29,0.01,-1.7
0.96,812,0,1.7,29,0.01,-1.7
1,812,0.01,1.7,29,0.01,-1.7
1.04,812,-0.01,1.7,29,-0.02,-1.7
1.08,812,0,1.7,29,-0.01,-1.7
1.12,812,0,1.7,29,0.01,-1.7
1.16,812,-0.01,1.7,29,0.01,-1.7
1.2,812,0,1.7,29,0,-1.7
1.24,812,0,1.7,29,0.02,-1.7
1.28,812,-0.01,1.7,29,0.02,-1.7
1.32,812,0.01,1.7,29,0.01,-1.7
1.36,812,0,1.7,29,-0.01,-1.7
1.4,812,0,1.7,29,0.02,-1.7
1.44,812,0.02,1.7,29,-0.02,-1.7
1.48,812,-0.02,1.7,29,0.02,-1.7
1.52,812,-0.01,1.7,29,0.01,-1.7
1.56,812,0.04,1.7,29,-0.01,-1.7
1.6,812,-0.02,1.7,29,0.01,-1.62
1.64,812,-0.01,1.7,29,-0.01,-1.62
1.68,812,0,1.7,29,-0.02,-1.62
1.72,812,-0.03,1.7,29,0.01,-1.54
1.76,812,-0.01,1.7,29,-0.01,-1.54
1.8,812,0.03,1.62,29,0.01,-1.54
1.84,812,-0.02,1.62,29,0.01,-1.46
1.88,812,0.05,1.62,29,-0.01,-1.46
1.92,812,0.02,1.62,29,0.01,-1.39
1.96,812,-0.02,1.62,29,0.03,-1.39
2,812,0.02,1.62,29,-0.02,-1.39
2.04,812,-0.01,1.62,29,-0.01,-1.31
2.08,812,-0.01,1.62,29,0.02,-1.31
2.12,812,0.03,1.62,29,-0.02,-1.31
2.16,812,-0.01,1.62,29,0.03,-1.23
2.2,812,0,1.62,29,-0.03,-1.23
2.24,812,0.04,1.62,29,0,-1.23
2.28,812,-0.01,1.62,29,0.03,-1.16
2.32,812,-0.02,1.62,29,0.01,-1.16
2.36,812,0.04,1.54,29,0.01,-1.16
2.4,812,-0.02,1.54,29,0.02,-1.08
2.44,812,0.01,1.54,29,-0.01,-1.08
2.48,812,0.01,1.54,29,0.02,-1.08
2.52,812,-0.03,1.54,29,0.01,-1.08
2.56,812,0.03,1.54,29,-0.02,-1
2.6,812,-0.01,1.54,29,0.01,-1
2.64,812,-0.04,1.54,29,-0.01,-1
2.68,812,0.02,1.54,29,-0.02,-0.93
2.72,812,-0.01,1.54,29,0.01,-0.93
2.76,812,-0.02,1.54,29,0,-0.93
2.8,812,0.04,1.54,29,-0.01,-0.85
2.84,812,-0.02,1.54,29,-0.01,-0.85
2.88,812,-0.02,1.54,29,-0.01,-0.85
2.92,812,0.02,1.54,29,-0.01,-0.77
2.96,812,-0.04,1.54,29,0.01,-0.77
3,812,-0.01,1.46,29,0.01,-0.77
3.04,812,0.02,1.46,29,-0.01,-0.77
3.08,812,-0.02,1.46,29,-0.01,-0.69
3.12,812,0.02,1.46,29,0,-0.69
3.16,812,0,1.46,29,0.01,-0.69
3.2,812,-0.02,1.46,29,0,-0.62
3.24,812,0.01,1.46,29,-0.01,-0.62
3.28,812,-0.02,1.46,29,-0.02,-0.62
3.32,812,-0.03,1.46,29,0,-0.62
3.36,812,0.03,1.46,29,-0.02,-0.54
3.4,812,0,1.46,29,0.01,-0.54
3.44,812,-0.02,1.46,29,0.01,-0.54
3.48,812,0.02,1.46,29,-0.01,-0.46
3.52,812,-0.02,1.46,29,0,-0.46
3.56,812,-0.02,1.46,29,-0.02,-0.46
3.6,812,0.05,1.46,29,-0.02,-0.46
3.64,812,-0.02,1.46,29,0.02,-0.39
3.68,812,0,1.46,29,0.01,-0.39
3.72,812,0.03,1.46,29,-0.01,-0.39
3.76,812,-0.02,1.46,29,0.02,-0.31
3.8,812,-0.03,1.46,29,-0.01,-0.31
3.84,812,0,1.39,29,-0.01,-0.31
3.88,812,-0.02,1.39,29,0.02,-0.31
3.92,812,0.02,1.39,29,-0.01,-0.23
3.96,812,0.01,1.39,29,0.01,-0.23
4,812,-0.02,1.39,29,-0.01,-0.23
4.04,812,0.04,1.39,29,-0.04,-0.15
4.08,812,-0.01,1.39,29,0.01,-0.15
4.12,812,-0.03,1.39,29,-0.01,-0.15
4.16,812,0.04,1.39,29,-0.02,-0.15
4.2,812,-0.02,1.39,29,0.02,-0.08
4.24,812,-0.02,1.39,29,-0.02,-0.08
4.28,812,0.04,1.39,29,0.01,-0.08
4.32,812,-0.04,1.39,29,0.01,0
4.36,812,0.02,1.39,29,-0.03,0
4.4,812,0.01,1.39,29,0.03,0
4.44,812,-0.03,1.39,29,0.02,0.08
4.48,812,0.02,1.39,29,0.02,0.08
4.52,812,0.02,1.39,29,-0.01,0.08
4.56,812,-0.02,1.39,29,-0.02,0.15
4.6,812,0.03,1.39,29,-0.22,0.15
4.64,812,-0.01,1.39,29,-0.63,0.15
4.68,812,-0.02,1.39,29,-0.96,0.15
4.72,812,0.04,1.39,29,-1.08,0.23
4.76,812,-0.04,1.39,29,-1.03,0.23
4.8,812,-0.02,1.39,29,-1.16,0.23
4.84,812,0.04,1.39,29,-1.17,0.31
4.88,812,-0.01,1.39,29,-1.16,0.31
4.92,812,0.01,1.39,29,-1.16,0.31
4.96,812,0.03,1.39,29,-1.18,0.39
5,812,-0.02,1.39,29,-1.2,0.39
5.04,812,-0.02,1.39,29,-1.2,0.39
5.08,812,0,1.39,29,-1.22,0.46
5.12,812,-0.01,1.39,29,-1.21,0.46
5.16,812,0.01,1.39,29,-1.21,0.46
5.2,812,0.02,1.39,29,-1.22,0.54
5.24,812,-0.04,1.39,29,-1.37,0.54
5.28,812,0.04,1.39,30,-2.05,0.62
5.32,812,-0.01,1.39,30,-2.76,0.62
5.36,812,0,1.39,30,-3.31,0.62
5.4,812,0.04,1.39,30,-3.67,0.69
5.44,812,-0.02,1.39,30,-3.89,0.69
5.48,812,0.01,1.39,30,-3.92,0.77
5.52,812,0.06,1.39,30,-3.93,0.77
5.56,812,-0.03,1.39,30,-3.87,0.77
5.6,812,-0.02,1.39,31,-3.82,0.85
5.64,812,0.04,1.46,31,-3.78,0.85
5.68,812,-0.04,1.46,31,-4.02,0.93
5.72,812,0.02,1.46,31,-4.43,0.93
5.76,812,0.02,1.46,31,-4.94,0.93
5.8,812,-0.03,1.46,32,-5.92,1
5.84,812,0.02,1.46,32,-6.4,1
5.88,812,0.02,1.46,32,-6.83,1.08
5.92,812,-0.02,1.46,32,-7.36,1.08
5.96,812,0.04,1.46,33,-7.85,1.08
6,812,-0.04,1.46,33,-7.73,1.16
6.04,812,-0.02,1.46,33,-7.55,1.16
6.08,812,0.04,1.46,34,-7.56,1.23
6.12,812,-0.03,1.46,34,-7.35,1.23
6.16,812,-0.01,1.46,34,-7.54,1.31
6.2,812,0.01,1.46,35,-7.48,1.31
6.24,812,0.02,1.46,35,-7.48,1.39
6.28,812,-0.03,1.46,35,-7.79,1.39
6.32,812,0.05,1.46,35,-8.09,1.46
6.36,812,-0.02,1.54,36,-8.68,1.46
6.4,812,0.02,1.54,36,-9.3,1.54
6.44,812,0.03,1.54,36,-10.31,1.54
6.48,812,-0.03,1.54,37,-11.04,1.62
6.52,812,0.04,1.54,37,-11.87,1.62
6.56,812,-0.01,1.54,38,-12.34,1.7
6.6,812,-0.02,1.54,38,-12.64,1.7
6.64,812,0,1.54,39,-12.73,1.77
6.68,812,0,1.54,39,-12.67,1.77
6.72,812,-0.02,1.54,40,-12.47,1.85
6.76,812,0.06,1.62,40,-12.7,1.93
6.8,812,-0.01,1.62,41,-13.05,1.93
6.84,812,-0.02,1.62,41,-13.34,2
6.88,812,0.01,1.62,42,-13.58,2.08
6.92,812,-0.02,1.62,43,-13.84,2.08
6.96,812,0,1.62,43,-14.04,2.16
7,812,0.02,1.62,44,-14.63,2.16
7.04,812,0,1.62,44,-15.55,2.24
7.08,812,0.02,1.62,45,-16.35,2.31
7.12,812,0.02,1.7,46,-16.23,2.31
7.16,812,-0.02,1.7,46,-16.27,2.39
7.2,812,0.02,1.7,47,-16.23,2.39
7.24,812,-0.02,1.7,48,-15.99,2.47
7.28,812,-0.02,1.7,48,-16.05,2.54
7.32,812,0.03,1.7,49,-16.08,2.62
7.36,812,-0.02,1.7,49,-16.19,2.62
7.4,812,0,1.77,50,-16.45,2.7
7.44,812,0.04,1.77,51,-17.22,2.78
7.48,812,-0.02,1.77,51,-17.95,2.78
7.52,812,-0.02,1.77,52,-18.51,2.85
7.56,812,0.04,1.77,53,-18.69,2.93
7.6,812,-0.01,1.77,54,-18.83,3.01
7.64,812,0.03,1.85,55,-18.88,3.01
7.68,812,-0.52,1.85,55,-18.87,3.08
7.72,812,-5.7,1.85,56,-18.8,3.16
7.76,812,-5.78,1.85,57,-18.93,3.16
7.8,811,-7.14,1.85,58,-18.67,3.24
7.84,811,-8.07,1.85,58,-18.81,3.24
7.88,811,-7.86,1.85,59,-18.68,3.24
7.92,810,-7.38,1.85,60,-18.9,3.24
7.96,810,-8.54,1.85,61,-18.87,3.32
8,810,-8.32,1.85,61,-18.77,3.32
8.04,809,-8.33,1.85,62,-19.05,3.32
8.08,809,-7.79,1.85,63,-19.55,3.32
8.12,809,-8.72,1.85,63,-19.94,3.32
8.16,808,-8.41,1.85,64,-20.08,3.32
8.2,808,-8.13,1.85,65,-20.05,3.32
8.24,808,-7.09,1.85,66,-20.1,3.32
8.28,808,-7.47,1.85,67,-20.27,3.32
8.32,807,-16.35,1.85,68,-19.87,3.32
8.36,806,-25.1,1.85,68,-19.95,3.32
8.4,805,-28.17,1.85,69,-20,3.32
8.44,804,-27.28,1.85,70,-20.02,3.32
8.48,803,-24.34,1.85,71,-19.87,3.32
8.52,802,-26.24,1.85,72,-20,3.32
8.56,801,-27.73,1.85,72,-20.16,3.32
8.6,800,-28.43,1.85,73,-20.06,3.32
8.64,799,-24.65,1.85,74,-19.95,3.32
8.68,797,-26.25,1.85,75,-20.1,3.32
8.72,796,-27.22,1.85,76,-20.05,3.32
8.76,795,-31.97,1.85,76,-20.06,3.32
8.8,794,-45.55,1.85,77,-19.87,3.32
8.84,792,-45.22,1.85,78,-19.9,3.32
8.88,790,-42.13,1.85,79,-19.94,3.32
8.92,788,-44.32,1.85,80,-19.87,3.32
8.96,787,-46.67,1.85,80,-19.88,3.32
9,785,-54.45,1.85,81,-20.04,3.32
9.04,782,-51.82,1.85,82,-20.08,3.32
9.08,780,-52.16,1.85,83,-20.02,3.32
9.12,778,-55.31,1.85,84,-19.92,3.32
9.16,776,-54.09,1.85,84,-20.03,3.32
9.2,774,-55.44,1.85,85,-19.93,3.32
9.24,771,-54.14,1.85,86,-19.82,3.32
9.28,769,-54.4,1.85,87,-19.94,3.32
9.32,768,-53.59,1.85,87,-20.05,3.32
9.36,766,-56.78,1.85,88,-20.16,3.32
9.4,763,-62.2,1.85,89,-20.12,3.32
9.44,760,-88.27,1.85,90,-20.04,3.32
9.48,757,-84.94,1.85,91,-20,3.32
9.52,753,-86.72,1.85,91,-19.94,3.32
9.56,750,-86.14,1.85,92,-19.88,3.32
9.6,746,-81.58,1.85,93,-19.93,3.32
9.64,743,-78.37,1.85,94,-20.07,3.32
9.68,740,-80.38,1.85,95,-19.96,3.32
9.72,737,-79.57,1.85,95,-19.94,3.32
9.76,733,-79.15,1.85,96,-20.08,3.32
9.8,730,-78.41,1.85,97,-20,3.32
9.84,727,-83.32,1.85,98,-19.93,3.32
9.88,724,-87.48,1.85,99,-20.07,3.32
9.92,721,-88.48,1.85,99,-20.11,3.32
9.96,716,-88.44,1.85,100,-19.92,3.32
10,713,-86.31,1.85,101,-19.9,3.32
10.04,710,-89.6,1.85,102,-19.94,3.32
10.08,706,-108.58,1.85,103,-20.13,3.32
10.12,701,-104.99,1.85,104,-19.96,3.32
10.16,697,-105.82,1.85,104,-20.11,3.32
10.2,693,-103.71,1.85,105,-20.11,3.32
10.24,690,-88.2,1.85,106,-20.04,3.32
10.28,687,-87.98,1.85,107,-20.04,3.32
10.32,682,-88.03,1.85,108,-19.91,3.32
10.36,679,-85.61,1.85,108,-20.09,3.32
10.4,676,-87.41,1.85,109,-20.02,3.32
10.44,673,-89.28,1.85,110,-19.94,3.32
10.48,668,-96.77,1.85,111,-20.07,3.32
10.52,664,-107.15,1.85,112,-20.08,3.32
10.56,660,-106.52,1.85,112,-20.16,3.32
10.6,656,-105.1,1.85,113,-19.98,3.32
10.64,652,-105.38,1.85,114,-19.92,3.32
10.68,648,-89.3,1.85,115,-20.07,3.32
10.72,644,-89.33,1.85,116,-19.87,3.32
10.76,641,-87.52,1.85,116,-20.01,3.32
10.8,638,-86.45,1.85,117,-20.03,3.32
10.84,633,-78.14,1.85,118,-20.08,3.32
10.88,631,-78.71,1.85,119,-20.05,3.32
10.92,628,-80.47,1.85,120,-20.03,3.32
10.96,625,-77.47,1.85,120,-19.99,3.32
11,622,-80.06,1.85,121,-19.88,3.32
11.04,618,-80.28,1.85,122,-19.84,3.32
11.08,615,-81.12,1.85,123,-19.97,3.32
11.12,612,-79.31,1.85,123,-19.88,3.32
11.16,609,-88.56,1.85,124,-19.96,3.32
11.2,604,-86.8,1.85,125,-20.09,3.32
11.24,601,-86.93,1.85,126,-20.16,3.32
11.28,598,-84.69,1.85,127,-20.04,3.32
11.32,596,-51.31,1.85,127,-19.88,3.32
11.36,594,-53.81,1.85,128,-19.98,3.32
11.4,591,-51.7,1.85,129,-20.04,3.32
11.44,589,-54.55,1.85,130,-19.99,3.32
11.48,587,-52.1,1.85,131,-19.99,3.32
11.52,585,-53.95,1.85,131,-20.04,3.32
11.56,582,-53.35,1.85,132,-20.15,3.32
11.6,580,-54.19,1.85,133,-20.04,3.32
11.64,578,-51.01,1.85,134,-19.97,3.32
11.68,576,-54.26,1.85,135,-19.94,3.32
11.72,575,-50.92,1.85,135,-20.03,3.32
11.76,572,-44.54,1.85,136,-19.82,3.32
11.8,571,-44.85,1.85,137,-20.02,3.32
11.84,569,-44.18,1.85,138,-19.97,3.32
11.88,567,-43.39,1.85,139,-20.14,3.32
11.92,565,-37.87,1.85,140,-19.95,3.32
11.96,564,-28.16,1.85,140,-20,3.32
12,563,-25.56,1.85,141,-20.1,3.32
12.04,562,-27.63,1.85,142,-20.11,3.32
12.08,561,-26.97,1.85,143,-20.06,3.32
12.12,560,-27.74,1.85,144,-19.82,3.32
12.16,559,-25.92,1.85,144,-20.03,3.32
12.2,558,-25.61,1.85,145,-19.99,3.32
12.24,557,-28.05,1.85,146,-19.87,3.32
12.28,555,-28.05,1.85,147,-19.94,3.32
12.32,555,-26.53,1.85,148,-20.02,3.32
12.36,554,-21.89,1.85,148,-20.05,3.32
12.4,553,-8.09,1.85,149,-19.98,3.32
12.44,553,-9.03,1.85,150,-19.92,3.32
12.48,552,-8.3,1.85,151,-19.99,3.32
12.52,552,-7.9,1.85,152,-19.86,3.32
12.56,552,-8.64,1.85,152,-19.99,3.32
12.6,552,-8.69,1.85,153,-20.07,3.32
12.64,551,-8.57,1.85,154,-20.03,3.32
12.68,551,-7.89,1.85,155,-19.95,3.32
12.72,550,-8.62,1.85,156,-20.04,3.32
12.76,550,-8.83,1.85,156,-20.09,3.32
12.8,550,-8.76,1.85,157,-19.99,3.32
12.84,549,-7.43,1.85,158,-19.92,3.32
12.88,549,-8.01,1.85,159,-20.03,3.32
12.92,549,-8.28,1.85,159,-20,3.32
12.96,548,-9.6,1.85,160,-20.01,3.32
13,548,-3.21,1.85,161,-19.96,3.32
13.04,548,-0.6,1.85,162,-20.06,3.32
13.08,548,-0.36,1.85,163,-20.02,3.32
13.12,548,-0.29,1.85,163,-19.91,3.32
13.16,548,-0.09,1.85,164,-19.94,3.32
13.2,548,-0.14,1.85,165,-20.06,3.32
13.24,548,-0.1,1.85,166,-20.02,3.32
13.28,548,-0.04,1.85,167,-20.02,3.32
13.32,548,-0.1,1.85,167,-20.1,3.32
13.36,548,-0.01,1.85,168,-20.14,3.32
13.4,548,-0.02,1.85,169,-19.92,3.32
13.44,548,-0.08,1.85,170,-19.94,3.32
13.48,548,0.02,1.85,171,-19.98,3.32
13.52,548,0,1.85,171,-20.1,3.32
13.56,548,-0.07,1.85,172,-19.98,3.32
13.6,548,0.04,1.85,173,-20.05,3.32
13.64,548,0,1.85,174,-19.99,3.32
13.68,548,-0.07,1.85,175,-20.14,3.32
13.72,548,0.02,1.85,176,-19.88,3.32
13.76,548,-0.02,1.85,176,-19.95,3.32
13.8,548,0,1.85,177,-20,3.32
13.84,548,0,1.85,178,-20.03,3.32
13.88,548,-0.04,1.85,179,-19.98,3.32
13.92,548,0.02,1.85,180,-19.99,3.32
13.96,548,0.03,1.85,180,-20.09,3.32
14,548,-0.06,1.85,181,-20.02,3.32
14.04,548,0.02,1.85,182,-19.84,3.32
14.08,548,0,1.85,183,-20.07,3.32
14.12,548,-0.04,1.85,184,-19.98,3.32
14.16,548,0.01,1.85,184,-20.07,3.32
14.2,548,0.02,1.85,185,-19.94,3.32
14.24,548,-0.04,1.85,186,-19.95,3.32
14.28,548,0.02,1.85,187,-20.01,3.32
14.32,548,-0.04,1.85,188,-19.92,3.32
14.36,548,0,1.85,188,-20,3.32
14.4,548,0.05,1.85,189,-20.12,3.32
14.44,548,-0.05,1.85,190,-19.93,3.32
14.48,548,0,1.85,191,-19.86,3.32
14.52,548,0.04,1.85,192,-20,3.32
14.56,548,-0.04,1.85,192,-20.08,3.32
14.6,548,-0.02,1.85,193,-20.15,3.32
14.64,548,0.01,1.85,194,-19.9,3.32
14.68,548,-0.03,1.85,195,-19.98,3.32
14.72,548,0.04,1.85,195,-19.98,3.32
14.76,548,0,1.85,196,-20.01,3.32
14.8,548,-0.01,1.85,197,-19.9,3.32
14.84,548,0.04,1.85,198,-20.02,3.32
14.88,548,0,1.85,199,-20.18,3.32
14.92,548,-0.04,1.85,199,-20,3.32
14.96,548,0.04,1.85,200,-19.9,3.32
15,548,-0.02,1.85,201,-20.05,3.32
15.04,548,-0.02,1.85,202,-20.03,3.32
15.08,548,0.03,1.85,203,-20.01,3.32
15.12,548,-0.01,1.85,203,-19.96,3.32
15.16,548,0.01,1.85,204,-20.08,3.32
15.2,548,0,1.85,205,-20.04,3.32
15.24,548,-0.04,1.85,206,-19.92,3.32
15.28,548,0.04,1.85,207,-19.95,3.32
15.32,548,0.02,1.85,207,-20.1,3.32
15.36,548,-0.07,1.85,208,-19.93,3.32
15.4,548,0.06,1.85,209,-20,3.32
15.44,548,0.03,1.85,210,-19.96,3.32
15.48,548,-0.09,1.85,211,-20.2,3.32
15.52,548,0.03,1.85,212,-19.92,3.24
15.56,548,-0.02,1.85,212,-20.02,3.24
15.6,548,-0.03,1.85,213,-20.04,3.16
15.64,548,0.02,1.85,214,-20.12,3.08
15.68,548,-0.04,1.85,215,-20.03,3.08
15.72,548,0,1.77,216,-19.94,3.01
15.76,548,0.03,1.77,216,-19.99,2.93
15.8,548,-0.06,1.77,217,-19.9,2.93
15.84,548,-0.02,1.77,218,-19.91,2.85
15.88,548,0.03,1.77,219,-20.08,2.78
15.92,548,-0.09,1.77,220,-20.02,2.7
15.96,548,0.01,1.77,220,-19.91,2.7
16,548,0.03,1.7,221,-19.96,2.62
16.04,548,-0.05,1.7,222,-19.92,2.54
16.08,548,0.04,1.7,223,-20.11,2.47
16.12,548,-0.02,1.7,224,-19.73,2.47
16.16,548,-0.06,1.7,224,-19.92,2.39
16.2,548,0.04,1.7,225,-20.14,2.39
16.24,548,-0.05,1.7,226,-20.1,2.31
16.28,548,-0.01,1.62,227,-19.9,2.24
16.32,548,0.04,1.62,228,-19.98,2.24
16.36,548,-0.02,1.62,228,-20.03,2.16
16.4,548,-0.08,1.62,229,-20.1,2.16
16.44,548,0.02,1.62,230,-19.8,2.08
16.48,548,-0.08,1.62,231,-19.94,2
16.52,548,0.02,1.62,231,-20,2
16.56,548,0.02,1.62,232,-20.2,1.93
16.6,548,-0.05,1.54,233,-20.06,1.85
16.64,548,0.06,1.54,234,-20.06,1.85
16.68,548,0,1.54,235,-20.09,1.77
16.72,548,-0.08,1.54,235,-19.86,1.77
16.76,548,0.02,1.54,236,-19.92,1.7
16.8,548,-0.01,1.54,237,-19.93,1.7
16.84,548,-0.08,1.54,238,-20.06,1.62
16.88,548,0.04,1.54,239,-20.01,1.62
16.92,548,0,1.54,239,-19.99,1.54
16.96,548,0.02,1.54,240,-20.08,1.46
17,548,0.01,1.54,241,-20.05,1.46
17.04,548,-0.04,1.46,242,-19.88,1.46
17.08,548,0.01,1.46,243,-20.03,1.39
17.12,548,0.06,1.46,243,-20.06,1.39
17.16,548,-0.08,1.46,244,-20.03,1.31
17.2,548,0.03,1.46,245,-19.95,1.31
17.24,548,0.05,1.46,246,-20.04,1.23
17.28,548,-0.06,1.46,247,-20.15,1.23
17.32,548,0.04,1.46,248,-19.96,1.16
17.36,548,0.02,1.46,248,-20.06,1.16
17.4,548,-0.07,1.46,249,-20.03,1.08
17.44,548,0.02,1.46,250,-20.08,1.08
17.48,548,0.04,1.46,251,-19.8,1
17.52,548,0.04,1.46,252,-19.95,1
17.56,548,0.03,1.46,252,-20.07,1
17.6,548,0.01,1.46,253,-20.03,0.93
17.64,548,-0.06,1.46,254,-19.91,0.93
17.68,548,0.03,1.46,255,-20.1,0.85
17.72,548,-0.06,1.39,256,-19.94,0.85
17.76,548,0,1.39,256,-20,0.77
17.8,548,0.04,1.39,257,-19.95,0.77
